prompts,results
"i have abnormal appearing skin, skin growth, foot or toe pain, foot or toe swelling, skin on leg or foot looks infected, skin dryness, peeling, scaliness, or roughness, skin on arm or hand looks infected. what disease do i have?",you have ingrown toe nail.
"i have abnormal appearing skin, neck swelling, foot or toe pain, foot or toe swelling, swollen eye, irregular appearing nails, skin on arm or hand looks infected. what disease do i have?",you have ingrown toe nail.
"i have foot or toe swelling, skin on leg or foot looks infected, swollen eye, irregular appearing nails, skin on arm or hand looks infected. what disease do i have?",you have ingrown toe nail.
"i have neck swelling, foot or toe swelling, skin on leg or foot looks infected, irregular appearing nails. what disease do i have?",you have ingrown toe nail.
"i have neck swelling, foot or toe pain, foot or toe swelling, skin on leg or foot looks infected, swollen eye, irregular appearing nails, skin dryness, peeling, scaliness, or roughness. what disease do i have?",you have ingrown toe nail.
"i have shortness of breath, dizziness, cough, paresthesia, fever. what disease do i have?",you have pulmonary eosinophilia.
"i have white discharge from eye, double vision, symptoms of eye, pain in eye, lacrimation. what disease do i have?",you have corneal disorder.
"i have white discharge from eye, diminished vision, double vision, symptoms of eye, spots or clouds in vision, eye redness. what disease do i have?",you have corneal disorder.
"i have cough, flatulence, sharp abdominal pain, vomiting, diarrhea, allergic reaction. what disease do i have?",you have intestinal malabsorption.
"i have skin swelling, lip swelling, abnormal appearing skin, skin lesion, skin growth. what disease do i have?",you have viral warts.
"i have skin swelling, lip swelling, abnormal appearing skin. what disease do i have?",you have viral warts.
"i have dizziness, headache, problems with movement, focal weakness, slurring words. what disease do i have?",you have stroke.
"i have depressive or psychotic symptoms, dizziness, abnormal involuntary movements, difficulty speaking, problems with movement. what disease do i have?",you have stroke.
"i have skin growth, irregular appearing scalp, pain of the anus, pelvic pain, bones are painful. what disease do i have?",you have pilonidal cyst.
"i have skin swelling, irregular appearing scalp, bones are painful, ache all over, lower body pain. what disease do i have?",you have pilonidal cyst.
"i have skin swelling, knee pain, ankle pain, problems with movement. what disease do i have?",you have flat feet.
"i have skin swelling, ankle pain, problems with movement. what disease do i have?",you have flat feet.
"i have retention of urine, involuntary urination, blood in urine, intermenstrual bleeding, vaginal pain. what disease do i have?",you have pelvic organ prolapse.
"i have suprapubic pain, blood in urine. what disease do i have?",you have pelvic organ prolapse.
"i have retention of urine, suprapubic pain, involuntary urination, frequent urination, blood in urine, intermenstrual bleeding, vaginal pain. what disease do i have?",you have pelvic organ prolapse.
"i have involuntary urination, intermenstrual bleeding, symptoms of bladder. what disease do i have?",you have pelvic organ prolapse.
"i have arm pain, wrist swelling, wrist stiffness or tightness, elbow pain, shoulder stiffness or tightness, elbow swelling. what disease do i have?",you have fracture of the arm.
"i have wrist swelling, arm stiffness or tightness, arm swelling, wrist stiffness or tightness, elbow pain, shoulder pain, shoulder stiffness or tightness, elbow swelling. what disease do i have?",you have fracture of the arm.
"i have leg pain, melena. what disease do i have?",you have coagulation (bleeding) disorder.
"i have depressive or psychotic symptoms, dizziness, abnormal involuntary movements, difficulty speaking, vomiting, headache, diminished vision. what disease do i have?",you have intracranial hemorrhage.
"i have depressive or psychotic symptoms, abnormal involuntary movements, difficulty speaking, vomiting, headache, diminished vision, seizures. what disease do i have?",you have intracranial hemorrhage.
"i have shortness of breath, difficulty in swallowing, feeling ill, nausea, weakness, decreased heart rate. what disease do i have?",you have hyperkalemia.
"i have shortness of breath, depressive or psychotic symptoms, sharp chest pain, dizziness, difficulty in swallowing, vomiting, weakness, decreased heart rate. what disease do i have?",you have hyperkalemia.
"i have depressive or psychotic symptoms, sharp chest pain, difficulty in swallowing, feeling ill, vomiting, nausea, decreased heart rate. what disease do i have?",you have hyperkalemia.
"i have diminished vision, eye redness, lacrimation, itchiness of eye, eye burns or stings, swollen eye. what disease do i have?",you have cornea infection.
"i have lip swelling, spots or clouds in vision, eye redness, lacrimation, swollen eye. what disease do i have?",you have cornea infection.
"i have lip swelling, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye, swollen eye. what disease do i have?",you have cornea infection.
"i have sore throat, cough, headache, facial pain, ear pain, fever, painful sinuses. what disease do i have?",you have chronic sinusitis.
"i have sore throat, facial pain, ear pain, fever, congestion in chest, sinus congestion, painful sinuses. what disease do i have?",you have chronic sinusitis.
"i have sharp chest pain, chest tightness, cough, difficulty in swallowing. what disease do i have?",you have achalasia.
"i have hoarse voice, difficulty speaking, diminished hearing, ear pain, ringing in ear, plugged feeling in ear, redness in ear. what disease do i have?",you have conductive hearing loss.
"i have dizziness, difficulty speaking, ear pain, ringing in ear, fluid in ear. what disease do i have?",you have conductive hearing loss.
"i have ringing in ear, redness in ear, low self-esteem. what disease do i have?",you have conductive hearing loss.
"i have hoarse voice, difficulty speaking, ear pain. what disease do i have?",you have conductive hearing loss.
"i have diminished hearing, plugged feeling in ear, fluid in ear. what disease do i have?",you have conductive hearing loss.
"i have symptoms of the scrotum and testes, sharp abdominal pain, ache all over, upper abdominal pain, swollen abdomen. what disease do i have?",you have abdominal hernia.
"i have symptoms of the scrotum and testes, lower abdominal pain, ache all over, upper abdominal pain, swollen abdomen. what disease do i have?",you have abdominal hernia.
"i have depression, difficulty speaking, hostile behavior, fears and phobias, low self-esteem. what disease do i have?",you have marijuana abuse.
"i have depression, depressive or psychotic symptoms, drug abuse, temper problems. what disease do i have?",you have marijuana abuse.
i have depression. what disease do i have?,you have marijuana abuse.
"i have anxiety and nervousness, depression, depressive or psychotic symptoms, abusing alcohol, drug abuse, low self-esteem. what disease do i have?",you have marijuana abuse.
"i have depressive or psychotic symptoms, abusing alcohol, hostile behavior, excessive anger, temper problems, low self-esteem. what disease do i have?",you have marijuana abuse.
"i have anxiety and nervousness, depression, depressive or psychotic symptoms, abusing alcohol, drug abuse, temper problems, fears and phobias, low self-esteem. what disease do i have?",you have marijuana abuse.
"i have depression, depressive or psychotic symptoms, difficulty speaking, abusing alcohol, excessive anger, fears and phobias, low self-esteem. what disease do i have?",you have marijuana abuse.
"i have depression, depressive or psychotic symptoms, difficulty speaking, hostile behavior, drug abuse. what disease do i have?",you have marijuana abuse.
"i have anxiety and nervousness, abusing alcohol, drug abuse, delusions or hallucinations, fears and phobias. what disease do i have?",you have marijuana abuse.
"i have anxiety and nervousness, depression, abusing alcohol. what disease do i have?",you have marijuana abuse.
"i have anxiety and nervousness, depression, abusing alcohol, drug abuse, delusions or hallucinations. what disease do i have?",you have marijuana abuse.
"i have sharp chest pain, sharp abdominal pain, vomiting, nausea, heartburn. what disease do i have?",you have indigestion.
"i have sharp chest pain, sharp abdominal pain, vomiting, nausea, burning abdominal pain, decreased appetite, stomach bloating. what disease do i have?",you have indigestion.
"i have sharp chest pain, sharp abdominal pain, diarrhea, heartburn, decreased appetite. what disease do i have?",you have indigestion.
"i have arm pain, arm stiffness or tightness, shoulder pain, elbow swelling. what disease do i have?",you have bursitis.
"i have leg pain, shoulder pain, elbow swelling. what disease do i have?",you have bursitis.
"i have leg pain, knee pain, elbow pain, shoulder stiffness or tightness. what disease do i have?",you have bursitis.
"i have hip pain, arm pain, arm swelling, knee pain, leg swelling, shoulder pain, elbow swelling. what disease do i have?",you have bursitis.
"i have leg pain, hip pain, arm stiffness or tightness, arm swelling. what disease do i have?",you have bursitis.
"i have leg pain, knee swelling, shoulder pain, shoulder stiffness or tightness. what disease do i have?",you have bursitis.
"i have arm pain, arm stiffness or tightness, arm swelling, knee pain, elbow pain, knee swelling, shoulder pain, shoulder stiffness or tightness. what disease do i have?",you have bursitis.
"i have shortness of breath, sharp chest pain, chest tightness, nasal congestion, fever. what disease do i have?",you have pulmonary congestion.
"i have shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, leg swelling, weakness, decreased heart rate, fever. what disease do i have?",you have pulmonary congestion.
"i have sharp chest pain, chest tightness, cough, leg swelling, fever. what disease do i have?",you have pulmonary congestion.
"i have skin swelling, skin moles, symptoms of the face, skin dryness, peeling, scaliness, or roughness, skin rash. what disease do i have?",you have actinic keratosis.
"i have skin swelling, irregular appearing scalp, skin moles, symptoms of the face, skin dryness, peeling, scaliness, or roughness, skin irritation. what disease do i have?",you have actinic keratosis.
"i have abnormal appearing skin, skin lesion, skin moles, itching of skin, skin irritation. what disease do i have?",you have actinic keratosis.
"i have cough, diminished hearing, plugged feeling in ear, fluid in ear, coryza. what disease do i have?",you have acute otitis media.
"i have sore throat, nasal congestion, ear pain, fluid in ear, coryza. what disease do i have?",you have acute otitis media.
"i have cough, nasal congestion, diminished hearing. what disease do i have?",you have acute otitis media.
"i have diminished hearing, redness in ear. what disease do i have?",you have acute otitis media.
"i have eye deviation, diminished vision, double vision, pain in eye, spots or clouds in vision. what disease do i have?",you have astigmatism.
"i have shortness of breath, sharp chest pain, sore throat, fever. what disease do i have?",you have chronic obstructive pulmonary disease (copd).
"i have shortness of breath, sharp chest pain, cough, nasal congestion, coryza. what disease do i have?",you have chronic obstructive pulmonary disease (copd).
"i have shortness of breath, sharp chest pain, chest tightness, sore throat, cough, nasal congestion, fever, coughing up sputum, coryza, congestion in chest. what disease do i have?",you have chronic obstructive pulmonary disease (copd).
"i have shortness of breath, sharp chest pain, chest tightness, nasal congestion, wheezing, coryza. what disease do i have?",you have chronic obstructive pulmonary disease (copd).
"i have shortness of breath, sharp chest pain, chest tightness, sore throat, wheezing, coughing up sputum, coryza, congestion in chest. what disease do i have?",you have chronic obstructive pulmonary disease (copd).
"i have leg pain, hip pain, neck pain, low back pain, loss of sensation, lower body pain. what disease do i have?",you have spondylosis.
"i have back pain, neck pain, low back pain, knee pain, loss of sensation, shoulder pain, lower body pain. what disease do i have?",you have spondylosis.
"i have leg pain, hip pain, arm pain, knee pain, ache all over. what disease do i have?",you have spondylosis.
"i have cough, vomiting, mouth ulcer, swollen lymph nodes. what disease do i have?",you have herpangina.
"i have arm stiffness or tightness, bones are painful, shoulder stiffness or tightness, muscle cramps, contractures, or spasms. what disease do i have?",you have injury to the shoulder.
"i have arm pain, arm stiffness or tightness, elbow pain, shoulder pain, shoulder stiffness or tightness. what disease do i have?",you have injury to the shoulder.
"i have insomnia, leg pain, hand or finger swelling. what disease do i have?",you have infection of open wound.
"i have sharp chest pain, weight gain, weakness. what disease do i have?",you have heart block.
"i have shortness of breath, sharp chest pain, dizziness, irregular heartbeat, fainting, peripheral edema. what disease do i have?",you have heart block.
"i have sharp chest pain, dizziness, irregular heartbeat, fainting, weight gain, weakness. what disease do i have?",you have heart block.
"i have dizziness, chest tightness, irregular heartbeat, peripheral edema. what disease do i have?",you have heart block.
"i have chest tightness, fainting, peripheral edema, weakness. what disease do i have?",you have heart block.
"i have shortness of breath, sharp chest pain, irregular heartbeat, weight gain, weakness. what disease do i have?",you have heart block.
"i have shortness of breath, dizziness, chest tightness, palpitations, irregular heartbeat, fainting, peripheral edema, weight gain. what disease do i have?",you have heart block.
"i have sharp chest pain, dizziness, chest tightness, palpitations, irregular heartbeat, fainting, peripheral edema, weight gain. what disease do i have?",you have heart block.
"i have anxiety and nervousness, depression, depressive or psychotic symptoms, hostile behavior, drug abuse, antisocial behavior. what disease do i have?",you have attention deficit hyperactivity disorder (adhd).
"i have anxiety and nervousness, depressive or psychotic symptoms, lack of growth, hostile behavior, drug abuse, temper problems, antisocial behavior. what disease do i have?",you have attention deficit hyperactivity disorder (adhd).
"i have sharp chest pain, nausea. what disease do i have?",you have tietze syndrome.
"i have cough, nausea, loss of sensation. what disease do i have?",you have tietze syndrome.
"i have abnormal involuntary movements, headache, facial pain, double vision, abnormal movement of eyelid. what disease do i have?",you have cranial nerve palsy.
"i have abnormal involuntary movements, difficulty speaking, facial pain, diminished vision, abnormal movement of eyelid. what disease do i have?",you have cranial nerve palsy.
"i have hand or finger swelling, arm pain, wrist swelling, arm swelling, bones are painful, joint pain. what disease do i have?",you have injury to the arm.
"i have hand or finger swelling, arm pain, wrist swelling, arm swelling, bones are painful, elbow pain. what disease do i have?",you have injury to the arm.
"i have hand or finger pain, wrist pain, wrist swelling, arm stiffness or tightness, arm swelling, joint pain, elbow swelling. what disease do i have?",you have injury to the arm.
"i have hand or finger pain, wrist pain, wrist swelling, arm stiffness or tightness, bones are painful, elbow pain, loss of sensation, elbow swelling. what disease do i have?",you have injury to the arm.
"i have wrist pain, arm pain, bones are painful, elbow swelling. what disease do i have?",you have injury to the arm.
"i have wrist pain, hand or finger swelling, wrist swelling, arm stiffness or tightness, arm swelling, bones are painful, loss of sensation, joint pain, elbow swelling. what disease do i have?",you have injury to the arm.
"i have hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, arm stiffness or tightness, loss of sensation, elbow swelling. what disease do i have?",you have injury to the arm.
"i have wrist pain, hand or finger swelling, bones are painful, elbow pain, joint pain, elbow swelling. what disease do i have?",you have injury to the arm.
"i have abnormal involuntary movements, leg pain, hand or finger pain, back pain, neck pain, low back pain, foot or toe pain, problems with movement, loss of sensation, ache all over. what disease do i have?",you have complex regional pain syndrome.
"i have abnormal involuntary movements, leg pain, hand or finger pain, arm pain, back pain, neck pain, foot or toe pain, problems with movement, loss of sensation, paresthesia. what disease do i have?",you have complex regional pain syndrome.
"i have leg pain, arm pain, foot or toe pain, paresthesia. what disease do i have?",you have complex regional pain syndrome.
"i have abnormal involuntary movements, leg pain, back pain, neck pain, foot or toe pain, ache all over. what disease do i have?",you have complex regional pain syndrome.
"i have abnormal involuntary movements, leg pain, hand or finger pain, arm pain, back pain, neck pain, low back pain, problems with movement, paresthesia. what disease do i have?",you have complex regional pain syndrome.
"i have sharp chest pain, headache, wrist pain, back pain, low back pain, bones are painful, shoulder pain, rib pain. what disease do i have?",you have injury to the trunk.
"i have sharp abdominal pain, lower abdominal pain, vaginal discharge, back pain, burning abdominal pain. what disease do i have?",you have vulvodynia.
"i have lower abdominal pain, vaginal discharge, back pain, pain during pregnancy, pelvic pain, burning abdominal pain, vaginal pain, side pain, cramps and spasms. what disease do i have?",you have vulvodynia.
"i have lower abdominal pain, burning abdominal pain. what disease do i have?",you have endometriosis.
"i have dizziness, leg pain, headache, foot or toe swelling, leg stiffness or tightness, lymphedema. what disease do i have?",you have vasculitis.
"i have dizziness, rib pain, sleepiness. what disease do i have?",you have concussion.
"i have difficulty speaking, headache, nausea, facial pain, double vision, back pain, disturbance of memory, rib pain, sleepiness. what disease do i have?",you have concussion.
"i have sharp abdominal pain, painful urination, involuntary urination, frequent urination, lower abdominal pain, blood in urine. what disease do i have?",you have bladder disorder.
"i have leg pain, knee pain, loss of sensation. what disease do i have?",you have myositis.
"i have sore throat, feeling ill, swollen lymph nodes, fever, skin rash. what disease do i have?",you have mononucleosis.
"i have retention of urine, blood in urine, low back pain. what disease do i have?",you have polycystic kidney disease.
"i have retention of urine, sharp abdominal pain, blood in urine, skin growth, low back pain, side pain. what disease do i have?",you have polycystic kidney disease.
"i have retention of urine, sharp abdominal pain, low back pain. what disease do i have?",you have polycystic kidney disease.
"i have depression, insomnia, abusing alcohol, excessive anger, delusions or hallucinations, fears and phobias. what disease do i have?",you have bipolar disorder.
"i have depressive or psychotic symptoms, abusing alcohol, excessive anger, temper problems, obsessions and compulsions. what disease do i have?",you have bipolar disorder.
"i have depression, obsessions and compulsions. what disease do i have?",you have bipolar disorder.
"i have shortness of breath, abnormal involuntary movements, problems with movement, allergic reaction. what disease do i have?",you have poisoning due to antimicrobial drugs.
"i have shortness of breath, abnormal involuntary movements, peripheral edema, problems with movement, skin rash. what disease do i have?",you have poisoning due to antimicrobial drugs.
"i have shortness of breath, dizziness, double vision, slurring words. what disease do i have?",you have myasthenia gravis.
"i have dizziness, fainting, nausea, weakness, decreased appetite, seizures. what disease do i have?",you have hypoglycemia.
"i have depressive or psychotic symptoms, dizziness, abnormal involuntary movements, fainting, nausea, sleepiness, sweating. what disease do i have?",you have hypoglycemia.
"i have fainting, feeling ill, nausea, problems with movement, decreased appetite, sleepiness, sweating. what disease do i have?",you have hypoglycemia.
"i have dizziness, feeling ill, nausea, weakness, sleepiness. what disease do i have?",you have hypoglycemia.
"i have fainting, feeling ill, nausea, decreased appetite, sleepiness. what disease do i have?",you have hypoglycemia.
"i have depressive or psychotic symptoms, dizziness, emotional symptoms, vomiting, headache, nausea. what disease do i have?",you have carbon monoxide poisoning.
"i have anxiety and nervousness, chest tightness, irregular heartbeat, loss of sensation. what disease do i have?",you have panic attack.
"i have difficulty speaking, eye deviation, diminished vision, symptoms of eye, spots or clouds in vision, eye redness. what disease do i have?",you have hyperopia.
"i have sharp chest pain, difficulty in swallowing, sharp abdominal pain, nausea, back pain, regurgitation, regurgitation.1. what disease do i have?",you have hiatal hernia.
"i have sharp chest pain, dizziness, difficulty in swallowing, sharp abdominal pain, vomiting blood, heartburn. what disease do i have?",you have hiatal hernia.
"i have sharp chest pain, difficulty in swallowing, sharp abdominal pain, back pain, regurgitation, burning abdominal pain, heartburn, regurgitation.1. what disease do i have?",you have hiatal hernia.
"i have sharp chest pain, dizziness, difficulty in swallowing, nausea, vomiting blood, upper abdominal pain. what disease do i have?",you have hiatal hernia.
"i have headache, ringing in ear, allergic reaction. what disease do i have?",you have meniere disease.
"i have nausea, facial pain, ear pain, ringing in ear. what disease do i have?",you have meniere disease.
"i have sharp abdominal pain, vaginal dryness, pain of the anus, changes in stool appearance, rectal bleeding, constipation. what disease do i have?",you have anal fissure.
"i have vaginal dryness, lower body pain, changes in stool appearance, constipation. what disease do i have?",you have anal fissure.
"i have cough, skin swelling, peripheral edema, itchiness of eye, fluid retention, swollen eye, skin rash. what disease do i have?",you have allergy.
"i have cough, lip swelling, abnormal appearing skin, itchiness of eye, fluid retention. what disease do i have?",you have allergy.
"i have cough, nasal congestion, plugged feeling in ear, fever, allergic reaction, redness in ear, painful sinuses. what disease do i have?",you have chronic otitis media.
"i have nasal congestion, fluid in ear, allergic reaction, pulling at ears, redness in ear, painful sinuses. what disease do i have?",you have chronic otitis media.
"i have irregular heartbeat, leg pain, shoulder pain. what disease do i have?",you have polymyalgia rheumatica.
"i have throat swelling, leg pain, abnormal appearing skin, peripheral edema, leg swelling, foot or toe swelling, fluid retention. what disease do i have?",you have lymphedema.
"i have leg pain, abnormal appearing skin, peripheral edema, leg swelling, foot or toe swelling, lymphedema. what disease do i have?",you have lymphedema.
"i have shortness of breath, sore throat, cough, nasal congestion, vomiting, wheezing, fever, coryza. what disease do i have?",you have acute bronchospasm.
"i have sore throat, cough, vomiting, wheezing, coryza. what disease do i have?",you have acute bronchospasm.
"i have shortness of breath, sharp chest pain, chest tightness, sore throat, nasal congestion, vomiting, wheezing, fever, difficulty breathing. what disease do i have?",you have acute bronchospasm.
"i have chest tightness, nasal congestion, wheezing. what disease do i have?",you have acute bronchospasm.
"i have shortness of breath, chest tightness, sore throat, difficulty breathing. what disease do i have?",you have acute bronchospasm.
"i have shortness of breath, chest tightness, sore throat, cough, nasal congestion, vomiting, difficulty breathing, coryza. what disease do i have?",you have acute bronchospasm.
"i have leg pain, hip pain, low back pain, problems with movement, leg cramps or spasms, lower body pain, back cramps or spasms. what disease do i have?",you have sciatica.
"i have leg pain, problems with movement, leg cramps or spasms, lower body pain, back cramps or spasms. what disease do i have?",you have sciatica.
"i have leg pain, problems with movement, leg cramps or spasms, leg weakness. what disease do i have?",you have sciatica.
"i have retention of urine, involuntary urination, frequent urination, hot flashes. what disease do i have?",you have stress incontinence.
"i have retention of urine, painful urination, involuntary urination, frequent urination, intermenstrual bleeding. what disease do i have?",you have stress incontinence.
"i have symptoms of the scrotum and testes, mass in scrotum. what disease do i have?",you have hydrocele of the testicle.
"i have retention of urine, groin mass, symptoms of the scrotum and testes, swelling of scrotum, pain in testicles, mass in scrotum. what disease do i have?",you have hydrocele of the testicle.
"i have groin mass, symptoms of the scrotum and testes, swelling of scrotum. what disease do i have?",you have hydrocele of the testicle.
"i have sharp abdominal pain, nausea, lower abdominal pain, back pain. what disease do i have?",you have hydronephrosis.
"i have blood in stool, nausea, diarrhea, lower abdominal pain, heartburn, upper abdominal pain, melena, rectal bleeding. what disease do i have?",you have diverticulosis.
"i have vomiting, nausea, lower abdominal pain, upper abdominal pain. what disease do i have?",you have diverticulosis.
"i have vomiting, nausea, diarrhea, lower abdominal pain, heartburn, upper abdominal pain, melena, rectal bleeding. what disease do i have?",you have diverticulosis.
"i have vomiting, diarrhea, lower abdominal pain, rectal bleeding. what disease do i have?",you have diverticulosis.
"i have blood in stool, vomiting, nausea, upper abdominal pain, melena, rectal bleeding. what disease do i have?",you have diverticulosis.
"i have sharp abdominal pain, nausea, diarrhea, lower abdominal pain, heartburn, upper abdominal pain, melena, rectal bleeding. what disease do i have?",you have diverticulosis.
"i have sharp chest pain, leg pain, nausea, lower abdominal pain, neck pain, side pain. what disease do i have?",you have pain after an operation.
"i have sharp chest pain, leg pain, sharp abdominal pain, vomiting, lower abdominal pain, low back pain. what disease do i have?",you have pain after an operation.
"i have sharp chest pain, leg pain, headache, nausea, back pain, neck pain, low back pain. what disease do i have?",you have pain after an operation.
"i have groin mass, regurgitation, neck mass, itchy ear(s), fatigue, regurgitation.1. what disease do i have?",you have lymphoma.
"i have skin swelling, lack of growth, abnormal appearing skin, skin lesion, irregular appearing scalp, skin dryness, peeling, scaliness, or roughness. what disease do i have?",you have dermatitis due to sun exposure.
"i have skin swelling, abnormal appearing skin, skin lesion, acne or pimples, irregular appearing scalp, too little hair. what disease do i have?",you have fungal infection of the skin.
"i have abnormal appearing skin, skin lesion, acne or pimples, itching of skin, itchy scalp. what disease do i have?",you have fungal infection of the skin.
"i have itching of skin, too little hair. what disease do i have?",you have fungal infection of the skin.
"i have skin swelling, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness, too little hair. what disease do i have?",you have fungal infection of the skin.
"i have skin swelling, skin lesion, irregular appearing scalp, skin dryness, peeling, scaliness, or roughness, too little hair, skin rash. what disease do i have?",you have fungal infection of the skin.
"i have abnormal appearing skin, skin lesion, irregular appearing scalp, skin dryness, peeling, scaliness, or roughness, itchy scalp, too little hair, skin rash. what disease do i have?",you have fungal infection of the skin.
"i have skin lesion, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness, itchy scalp, too little hair, skin rash. what disease do i have?",you have fungal infection of the skin.
"i have depressive or psychotic symptoms, lower abdominal pain, back pain. what disease do i have?",you have premenstrual tension syndrome.
"i have diminished hearing, symptoms of eye, pain in eye, eye redness, fever, swollen eye. what disease do i have?",you have orbital cellulitis.
"i have diminished hearing, symptoms of eye, pain in eye, peripheral edema, fever, swollen eye. what disease do i have?",you have orbital cellulitis.
"i have leg pain, knee pain, foot or toe pain, ankle pain, problems with movement, foot or toe swelling, infant feeding problem. what disease do i have?",you have injury to the leg.
"i have leg pain, foot or toe pain, ankle pain, problems with movement, knee stiffness or tightness, irregular appearing nails, ankle swelling. what disease do i have?",you have injury to the leg.
"i have sharp chest pain, irregular heartbeat, fatigue, nightmares. what disease do i have?",you have mitral valve disease.
"i have chest tightness, irregular heartbeat, nightmares. what disease do i have?",you have mitral valve disease.
"i have shortness of breath, sharp chest pain, dizziness, chest tightness, increased heart rate, fatigue, sweating, nightmares. what disease do i have?",you have mitral valve disease.
"i have shortness of breath, sharp chest pain, dizziness, chest tightness, irregular heartbeat, fatigue. what disease do i have?",you have mitral valve disease.
"i have dizziness, problems with movement, weakness, focal weakness. what disease do i have?",you have parkinson disease.
"i have dizziness, weakness, focal weakness, disturbance of memory. what disease do i have?",you have parkinson disease.
"i have hand or finger pain, wrist pain, wrist swelling, knee pain, ankle pain, knee swelling, leg swelling, foot or toe swelling, joint pain. what disease do i have?",you have gout.
"i have hand or finger swelling, knee pain, knee swelling, leg swelling, foot or toe swelling. what disease do i have?",you have gout.
"i have hand or finger pain, wrist pain, knee pain, leg swelling, foot or toe swelling, joint pain, ankle swelling. what disease do i have?",you have gout.
"i have sore throat, ear pain, plugged feeling in ear. what disease do i have?",you have otitis media.
"i have sore throat, cough, diminished hearing, vomiting, ear pain, plugged feeling in ear, fluid in ear, fever. what disease do i have?",you have otitis media.
"i have sore throat, cough, vomiting, fever. what disease do i have?",you have otitis media.
"i have cough, vomiting, ear pain, plugged feeling in ear, fluid in ear, coryza. what disease do i have?",you have otitis media.
"i have cough, nasal congestion, diminished hearing, plugged feeling in ear, coryza, pulling at ears. what disease do i have?",you have otitis media.
"i have cough, nasal congestion, ear pain, fluid in ear, fever, coryza. what disease do i have?",you have otitis media.
"i have cough, vomiting, plugged feeling in ear, fluid in ear, fever, coryza, pulling at ears. what disease do i have?",you have otitis media.
"i have diminished hearing, vomiting, plugged feeling in ear, fluid in ear, coryza. what disease do i have?",you have otitis media.
"i have depression, depressive or psychotic symptoms, restlessness, delusions or hallucinations. what disease do i have?",you have drug abuse (opioids).
"i have depressive or psychotic symptoms, abusing alcohol, temper problems. what disease do i have?",you have drug abuse (opioids).
"i have anxiety and nervousness, depressive or psychotic symptoms, insomnia, abusing alcohol, delusions or hallucinations. what disease do i have?",you have drug abuse (opioids).
"i have neck swelling, shoulder pain, shoulder stiffness or tightness. what disease do i have?",you have fracture of the shoulder.
"i have arm pain, neck swelling, bones are painful, shoulder stiffness or tightness. what disease do i have?",you have fracture of the shoulder.
"i have shortness of breath, retention of urine, sharp abdominal pain, symptoms of the kidneys. what disease do i have?",you have acute kidney injury.
"i have sharp chest pain, vomiting, nausea, peripheral edema, weakness. what disease do i have?",you have acute kidney injury.
"i have shortness of breath, dizziness, retention of urine, sharp abdominal pain, vomiting, peripheral edema, symptoms of the kidneys. what disease do i have?",you have acute kidney injury.
"i have sharp abdominal pain, lower abdominal pain, vaginal discharge, intermenstrual bleeding, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, uterine contractions. what disease do i have?",you have threatened pregnancy.
"i have vaginal discharge, pelvic pain, problems during pregnancy. what disease do i have?",you have threatened pregnancy.
"i have lower abdominal pain, spotting or bleeding during pregnancy, cramps and spasms, blood clots during menstrual periods. what disease do i have?",you have threatened pregnancy.
"i have lip swelling, facial pain, mouth ulcer, peripheral edema, ear pain, jaw swelling, gum pain, bleeding gums, pain in gums. what disease do i have?",you have gum disease.
"i have mouth ulcer, peripheral edema, ear pain, jaw swelling, bleeding gums, pain in gums. what disease do i have?",you have gum disease.
"i have lip swelling, toothache, facial pain, ear pain, jaw swelling, pain in gums. what disease do i have?",you have gum disease.
"i have toothache, facial pain, mouth ulcer, ear pain, gum pain, pain in gums. what disease do i have?",you have gum disease.
"i have dizziness, blood in stool, fainting, diarrhea, vomiting blood, weakness, melena. what disease do i have?",you have gastrointestinal hemorrhage.
"i have fainting, diarrhea, vomiting blood, changes in stool appearance, melena, rectal bleeding. what disease do i have?",you have gastrointestinal hemorrhage.
"i have dizziness, fainting, nausea, diarrhea, vomiting blood, melena, rectal bleeding. what disease do i have?",you have gastrointestinal hemorrhage.
"i have dizziness, fainting, nausea, diarrhea, rectal bleeding. what disease do i have?",you have gastrointestinal hemorrhage.
"i have dizziness, sharp abdominal pain, vomiting, diarrhea, vomiting blood, weakness, changes in stool appearance, melena, rectal bleeding. what disease do i have?",you have gastrointestinal hemorrhage.
"i have blood in stool, fainting, vomiting, weakness, changes in stool appearance. what disease do i have?",you have gastrointestinal hemorrhage.
"i have fainting, sharp abdominal pain, vomiting, nausea, changes in stool appearance, melena. what disease do i have?",you have gastrointestinal hemorrhage.
"i have acne or pimples, irregular appearing scalp, symptoms of the face, skin dryness, peeling, scaliness, or roughness, too little hair, skin rash. what disease do i have?",you have seborrheic dermatitis.
"i have skin lesion, acne or pimples, skin growth, irregular appearing scalp, skin dryness, peeling, scaliness, or roughness, too little hair, dry or flaky scalp. what disease do i have?",you have seborrheic dermatitis.
"i have abnormal appearing skin, skin lesion, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness, skin rash. what disease do i have?",you have seborrheic dermatitis.
